timestamp,metric,value,unit
2026-08-15 09:00:00,revenue,4200000,INR
2026-08-15 09:15:00,revenue,4210000,INR
2026-08-15 09:30:00,revenue,4190000,INR
2026-08-15 09:45:00,revenue,4200000,INR
2026-08-15 10:00:00,revenue,4200000,INR
2026-08-15 10:15:00,revenue,4150000,INR
2026-08-15 10:30:00,revenue,4080000,INR
2026-08-15 10:45:00,revenue,3990000,INR
2026-08-15 11:00:00,revenue,3850000,INR
2026-08-15 11:15:00,revenue,3820000,INR
2026-08-15 11:30:00,revenue,3800000,INR
2026-08-15 11:45:00,revenue,3790000,INR
2026-08-15 12:00:00,revenue,3800000,INR
